ID,Author,Title,Year,Venue,Label,DOI
1,"Lei Huang, Xiaocheng Feng, Weitao Ma, Yuxuan Gu, Weihong Zhong, Xiachong Feng, Weijiang Yu, Weihua Peng, Duyu Tang, Dandan Tu","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2024,"ACM Transactions on Information Systems","valid","10.1145/3703155"
2,"Lei Huang, Xiaocheng Feng, Weitao Ma, Yuxuan Gu, Weihong Zhong, Xiachong Feng, Weijiang Yu, Weihua Peng, Duyu Tang, Dandan Tu","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2023,"ACM Transactions on Information Systems","partially_valid","10.1145/3703155"
3,"John Doe, Jane Smith","Advanced Survey on AI Hallucinations in Models",2026,"ACM Transactions on Information Systems","hallucinated","10.1234/fake.12345"
4,"Lei Huang et al.","Learning fine-grained grounded citations for attributed large language models",2024,"ACL '24","valid","N/A"
5,"Lei Huang et al.","Learning fine-grained grounded citations for attributed large language models",2025,"ACL '24","partially_valid","N/A"
6,"John Doe, Jane Smith","Novel Grounded Citations in AI",2026,"ACL '24","hallucinated","10.1234/fake.12345"
7,"Shehzaad Dhuliawala, Mojtaba Komeili, Jing Xu, Roberta Raileanu, Xian Li, Asli Celikyilmaz, Jason Weston","Chain-of-verification reduces hallucination in large language models",2023,"arXiv","valid","10.48550/arXiv.2309.11495"
8,"Shehzaad Dhuliawala Jr., Mojtaba Komeili, Jing Xu, Roberta Raileanu, Xian Li, Asli Celikyilmaz, Jason Weston","Chain-of-verification reduces hallucination in large language models",2023,"arXiv","partially_valid","10.48550/arXiv.2309.11495"
9,"John Doe, Jane Smith","Chain-of-Verification in AI Models",2026,"arXiv","hallucinated","10.1234/fake.12345"
10,"Lei Huang et al.","A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2023,"arXiv","valid","10.48550/arXiv.2311.05232"
11,"Lei Huang et al.","Enhanced Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",2023,"arXiv","partially_valid","10.48550/arXiv.2311.05232"
